store_name,sale_date,sales_amount,product_category
Store_A,2022-06-04 18:07:06,817.97,Electronics
Store_A,NULL,1048.4,Toys
Store_C,2020-06-11 23:07:44,1552.63,Furniture
Store_D,2020-01-01 00:18:11,206.68,NULL
Store_C,2022-06-08 10:32:05,261.41,Toys
Store_E,2022-07-04 17:10:17,1314.45,Groceries
Store_A,2021-04-07 00:07:34,1613.97,Electronics
Store_E,2021-01-11 15:26:46,144.52,Clothing
Store_A,2020-03-20 01:00:54,588.15,Furniture
Store_B,2021-09-14 21:07:24,575.15,Groceries
Store_B,2020-04-30 03:31:34,1703.4,NULL
Store_E,2022-07-28 17:07:25,1965.92,Groceries
Store_C,NULL,242.14,Electronics
Store_C,2022-01-24 13:39:36,1457.29,Clothing
Store_E,2020-04-02 19:30:13,1490.8,Furniture
Store_B,2022-11-13 10:43:12,279.36,Clothing
Store_B,2020-09-02 02:08:46,803.01,Electronics
Store_A,2021-01-05 10:22:42,1968.31,Groceries
Store_E,2021-01-26 07:58:47,1395.46,Clothing
Store_E,2022-02-10 06:51:09,1373.19,Furniture
Store_D,2020-09-09 10:20:01,629.14,Electronics
Store_D,2022-12-09 20:07:39,1109.9,Groceries
Store_E,2021-05-25 02:40:25,1871.64,Toys
Store_E,NULL,1235.18,Groceries
Store_E,NULL,1285.14,Toys
Store_B,2020-07-10 05:28:14,24.76,Groceries
Store_D,2020-01-30 04:34:36,1147.07,Furniture
Store_C,2020-03-24 11:36:21,636.89,Electronics
Store_B,2022-06-19 17:24:34,664.48,NULL
Store_D,2020-09-17 07:41:15,1081.41,Clothing
Store_A,NULL,325.55,Clothing
Store_C,2022-04-09 15:28:58,416.9,Furniture
Store_B,2021-11-28 03:09:18,1455.53,Groceries
Store_C,2020-10-08 11:32:17,832.05,Toys
Store_E,2021-06-16 01:09:57,1134.15,Furniture
Store_B,2021-12-03 05:47:58,1909.32,Groceries
Store_E,2022-09-11 04:11:13,1547.17,Furniture
Store_D,2020-12-06 22:57:45,29.28,Clothing
Store_E,2021-12-29 06:10:03,1965.11,Furniture
Store_D,2022-10-06 16:56:58,1268.91,Toys
Store_C,NULL,591.34,Electronics
Store_C,2022-08-18 05:07:07,191.02,Electronics
Store_C,2020-11-06 01:39:54,1868.84,Clothing
Store_D,2021-11-21 12:46:43,1725.17,Clothing
Store_B,2022-04-16 11:32:00,332.36,Toys
Store_B,2022-12-11 04:11:40,1229.94,Clothing
Store_A,2020-10-16 23:37:50,483.97,Furniture
Store_B,2020-11-04 13:45:21,792.61,Furniture
Store_E,2022-01-16 03:57:39,1284.12,Furniture
Store_B,2022-06-28 12:35:19,1185.64,Groceries
Store_E,2022-08-17 15:53:55,1842.41,Electronics
Store_D,NULL,566.49,Clothing
Store_B,2020-04-17 04:23:00,1274.86,Clothing
Store_C,2021-03-06 03:48:24,1281.43,NULL
Store_D,2020-04-13 02:19:21,547.14,Groceries
Store_D,2021-06-04 10:51:26,1927.23,Toys
Store_E,2022-01-23 08:38:34,631.75,Furniture
